bgc_id,compound,formula,subclass,frac_arom,H_per_C,nC,reach,forward
BGC0002603,chevalone E,None,PR/mixed,0.19,1.46,26,too_large,inconclusive-budget
BGC0002604,sartorypyrone A,None,PR/mixed,0.18,1.43,28,too_large,inconclusive-budget
BGC0002605,ochratoxin A,None,hybrid/non-PKS (N),0.6,0.9,20,skip_element,-
BGC0002606,ochratoxin A,None,hybrid/non-PKS (N),0.6,0.9,20,skip_element,-
BGC0002607,ochratoxin A,None,hybrid/non-PKS (N),0.6,0.9,20,skip_element,-
BGC0002608,ochratoxin A,None,hybrid/non-PKS (N),0.6,0.9,20,skip_element,-
BGC0002609,ochratoxin A,None,hybrid/non-PKS (N),0.6,0.9,20,skip_element,-
BGC0002614,subglutinol A,None,PR/mixed,0.19,1.41,27,too_large,inconclusive-budget
BGC0002616,mycophenolic acid,None,PR/mixed,0.35,1.18,17,unreachable,sound-structural-gap
BGC0002619,mycophenolic acid,None,PR/mixed,0.35,1.18,17,unreachable,sound-structural-gap
BGC0002709,aurofusarin,None,NR-like (aromatic),0.6,0.6,30,too_large,formula-infeasible
BGC0002731,nanangenine A,None,HR-like (reduced),0.0,1.47,15,unreachable,sound-structural-gap
BGC0002745,verrucosidin,None,PR/mixed,0.21,1.33,24,too_large,inconclusive-budget
BGC0002749,aspcandine,C12H10N2O3,hybrid/non-PKS (N),0.5,0.83,12,skip_element,-
BGC0002758,Azanidulone,C11H10O4,PR/mixed,0.0,0.91,11,unreachable,sound-structural-gap
BGC0002759,brevione E,None,PR/mixed,0.0,1.21,28,too_large,inconclusive-budget
BGC0002812,Colletochlorin A,C18H25ClO5,PR/mixed,0.33,1.39,18,skip_element,-
BGC0002845,Sartorypyrone A,C28H40O5,PR/mixed,0.18,1.43,28,too_large,inconclusive-budget
BGC0002847,olivetolic acid,C12H16O4,NR-like (aromatic),0.5,1.33,12,reachable,recovered
BGC0002848,CJ-20557,C19H20O7,NR-like (aromatic),0.63,1.05,19,unreachable,sound-structural-gap
BGC0002849,Luteodienoside A,C23H38O13,HR-like (reduced),0.0,1.65,23,too_large,formula-infeasible
BGC0002852,"3,6-dialkyl-α-pyrone",C10H12O3,NR-like (aromatic),0.5,1.2,10,unreachable,sound-structural-gap
BGC0002864,Mollicellin Z ,C21H22O6,NR-like (aromatic),0.57,1.05,21,too_large,inconclusive-budget
BGC0002867,chlorogeumsanol B,C23H29Cl1O7,PR/mixed,0.0,1.26,23,skip_element,-
BGC0002872,Zaragozic acid A,C35H46O14,PR/mixed,0.17,1.31,35,too_large,inconclusive-budget
BGC0002874,cristazarin,C13H12O6,NR-like (aromatic),0.46,0.92,13,unreachable,formula-infeasible
BGC0002877,Cordypyrone A,C22H28O3,PR/mixed,0.23,1.27,22,too_large,inconclusive-budget
BGC0002883,biruloquinone,C17H10O7,NR-like (aromatic),0.88,0.59,17,unreachable,formula-infeasible
BGC0002887,radicicol,C18H17ClO6,PR/mixed,0.33,0.94,18,skip_element,-
BGC0002891,arthripenoid C,C30H44O9,PR/mixed,0.2,1.47,30,too_large,inconclusive-budget
BGC0002904,fumonisin B2,C34H59NO14,hybrid/non-PKS (N),0.0,1.74,34,skip_element,-
BGC0002911,naringenin,C15H12O5,NR-like (aromatic),0.8,0.8,15,unreachable,sound-structural-gap
BGC0002930,6'-O-demethyl-dihydroaustalide K,C24H32O5,PR/mixed,0.25,1.33,24,too_large,inconclusive-budget
BGC0002936,Gyrophoric acid,C24H20O10,NR-like (aromatic),0.75,0.83,24,too_large,inconclusive-budget
BGC0002953,11'-O-desmethyl fendlerol,None,HR-like (reduced),0.0,1.54,26,too_large,inconclusive-budget
BGC0002966,luteodienoside A,C25H38O13,HR-like (reduced),0.0,1.65,23,too_large,formula-infeasible
BGC0002970,xylariolide D,C10H14O3,NR-like (aromatic),0.5,1.4,10,unreachable,sound-structural-gap
BGC0002971,Fugralin A,C12H20O4,HR-like (reduced),0.0,1.67,12,unreachable,sound-structural-gap
BGC0002980,sphingofungin B,C20H39NO6,hybrid/non-PKS (N),0.0,1.95,20,skip_element,-
BGC0002984,Brefeldin A,C16H24O4,HR-like (reduced),0.0,1.5,16,unreachable,sound-structural-gap
BGC0002987,scirpilin A,C26H36O2,PR/mixed,0.23,1.38,26,too_large,inconclusive-budget
BGC0002993,Oxopyrrolidine A,C24H29NO5,hybrid/non-PKS (N),0.25,1.21,24,skip_element,-
BGC0002998,ilicicolinal,None,PR/mixed,0.26,1.35,23,skip_element,-
BGC0002999,(2S)-annullatin A,None,PR/mixed,0.35,1.29,17,unreachable,sound-structural-gap
BGC0003006,Rasfonin,C25H38O6,HR-like (reduced),0.0,1.52,25,too_large,inconclusive-budget
BGC0003011,Eupenifeldin,C33H40O7,NR-like (aromatic),0.42,1.21,33,too_large,inconclusive-budget
BGC0003013,agonodepside A,C23H26O5,NR-like (aromatic),0.52,1.13,23,too_large,inconclusive-budget
BGC0003017,Macrollin A,C21H29NO3,hybrid/non-PKS (N),0.29,1.38,21,skip_element,-
BGC0003018,sclerotiorin,None,PR/mixed,0.0,1.1,21,skip_element,-
BGC0003028,Terrestric acid,C11H14O4,PR/mixed,0.0,1.27,11,unreachable,sound-structural-gap
BGC0003032,soppiline A,C21H34O3,HR-like (reduced),0.0,1.62,21,too_large,inconclusive-budget
BGC0003093,Phomoxanthone A,C38H38O16,PR/mixed,0.32,1.0,38,too_large,inconclusive-budget
BGC0003094,Roseopurpurin C,C18H20O7,PR/mixed,0.33,1.11,18,unreachable,sound-structural-gap
BGC0003099,"7-But-15-enyl-6,8-dihydroxy-3(R)-pent-",C18H22O4,PR/mixed,0.33,1.22,18,unreachable,sound-structural-gap
BGC0003108,pycnidione,C33H40O7,NR-like (aromatic),0.42,1.21,33,too_large,inconclusive-budget
BGC0003109,stachysalicyloid C,C16H20O2,PR/mixed,0.38,1.25,16,unreachable,sound-structural-gap
BGC0003113,multiformin A,C24H26O6,PR/mixed,0.0,1.08,24,too_large,inconclusive-budget
BGC0003115,orsellinoxypropanoic acid,C11H12O6,NR-like (aromatic),0.55,1.09,11,unreachable,formula-infeasible
BGC0003118,Multiforisin H,C13H16O6,PR/mixed,0.38,1.23,13,unreachable,sound-structural-gap
BGC0003120,Minutellin A,C27H30O7,PR/mixed,0.0,1.11,27,too_large,inconclusive-budget
BGC0003126,kotanin,C24H22O8,NR-like (aromatic),0.75,0.92,24,too_large,inconclusive-budget
BGC0003142,FDDP D,C29H42O7,PR/mixed,0.17,1.45,29,too_large,inconclusive-budget
BGC0003144,Physodic acid,C26H30O8,NR-like (aromatic),0.46,1.15,26,too_large,inconclusive-budget
BGC0003145,macrophasetin A,C22H31NO3,hybrid/non-PKS (N),0.0,1.41,22,skip_element,-
BGC0003147,Taslactam C,C10H15NO3,hybrid/non-PKS (N),0.0,1.5,10,skip_element,-
BGC0003149,Taslactam D,C10H15NO3,hybrid/non-PKS (N),0.0,1.5,10,skip_element,-
BGC0003150,Ascochitine,C15H16O5,NR-like (aromatic),0.6,1.07,15,unreachable,sound-structural-gap
