bgc_id,name,C,H,O,base_status,generability_class,forward_verdict,formula_feasible,in_range,bucket_size_approx,recovered_program
BGC0001988,neosartorin,34,32,15,too_large,coverage-limited-structural,inconclusive-budget,True,False,0,
BGC0002030,viriditoxin,34,30,14,too_large,coverage-limited-structural,inconclusive-budget,True,False,0,
BGC0002062,agnestin A,15,12,6,unreachable,coverage-limited-formula,formula-infeasible,False,True,0,
BGC0002063,cryptosporioptide B,38,34,18,too_large,coverage-limited-formula,formula-infeasible,False,False,0,
BGC0002065,strobilurin A,16,18,3,unreachable,coverage-limited-structural,sound-structural-gap,True,True,49,
BGC0002139,burnettiene A,32,42,7,too_large,coverage-limited-structural,inconclusive-budget,True,False,0,
BGC0002154,"1,3,5,8-tetrahydroxynapthalene",10,8,4,unreachable,coverage-limited-structural,sound-structural-gap,True,True,0,
BGC0002155,nectriapyrone C,11,14,4,unreachable,coverage-limited-structural,sound-structural-gap,True,True,92,
BGC0002161,scytalone,10,10,4,unreachable,coverage-limited-structural,sound-structural-gap,True,True,1,
BGC0002165,betaenone C,21,34,5,too_large,coverage-limited-structural,inconclusive-budget,True,False,0,
BGC0002168,decumbenone a,16,24,4,unreachable,coverage-limited-structural,sound-structural-gap,True,True,11536,
BGC0002170,4-methyl-5-dimethyltetradecahexaene-β-ketolactone,22,28,3,too_large,coverage-limited-structural,inconclusive-budget,True,False,0,
BGC0002175,YWA1,14,12,6,unreachable,coverage-limited-structural,sound-structural-gap,True,True,0,
BGC0002177,ustilaginoidin N,29,22,10,too_large,coverage-limited-formula,formula-infeasible,False,False,0,
BGC0002180,(+)-asperlin,10,12,5,unreachable,coverage-limited-structural,sound-structural-gap,True,True,9,
BGC0002185,gregatin A,16,20,4,unreachable,coverage-limited-structural,sound-structural-gap,True,True,2185,
BGC0002190,sorbicillin,14,16,3,unreachable,coverage-limited-structural,sound-structural-gap,True,True,36,
BGC0002191,prolipyrone B,10,10,5,unreachable,coverage-limited-structural,sound-structural-gap,True,True,1,
BGC0002192,FR901512,21,28,6,too_large,coverage-limited-structural,inconclusive-budget,True,False,0,
BGC0002194,epipyrone A,34,44,10,too_large,coverage-limited-structural,inconclusive-budget,True,False,0,
BGC0002197,terrestric acid,11,14,4,unreachable,coverage-limited-structural,sound-structural-gap,True,True,92,
BGC0002200,aurovertin E,23,30,7,too_large,coverage-limited-structural,inconclusive-budget,True,False,0,
BGC0002206,harziphilone,15,18,4,unreachable,coverage-limited-structural,sound-structural-gap,True,True,546,
BGC0002209,ustethylin A,11,14,5,unreachable,coverage-limited-structural,sound-structural-gap,True,True,42,
BGC0002212,Orsellinic acid,8,8,4,reachable,,recovered,True,True,1,"Program(starter='acetyl', cycles=(Cycle(reduction=<ReductionState.KETO: 'keto'>, c_methyl=False, extender=<Extender.MALONYL: 'malonyl'>), Cycle(reduction=<ReductionState.KETO: 'keto'>, c_methyl=False, extender=<Extender.MALONYL: 'malonyl'>), Cycle(reduction=<ReductionState.KETO: 'keto'>, c_methyl=False, extender=<Extender.MALONYL: 'malonyl'>)), release=<Release.ALDOL_AROMATIC: 'aldol_aromatic'>)"
BGC0002222,zopfiellin,21,26,7,too_large,coverage-limited-structural,inconclusive-budget,True,False,0,
