bgc_id,name,baseline,status_rescan,curve,classes,n_classes
BGC0000030,bikaverin,unreachable,unreachable,CHO,aromatic_cyclization|non_aromatic_ring_rearrangement|oxidative_tailoring,3
BGC0000048,dothistromin,unreachable,unreachable,CHO,aromatic_cyclization|non_aromatic_ring_rearrangement|oxidative_tailoring,3
BGC0000057,F9775A,too_large,unreachable,CHO,aromatic_cyclization|non_aromatic_ring_rearrangement|oxidative_tailoring,3
BGC0000101,emodin,unreachable,unreachable,CHO,aromatic_cyclization|non_aromatic_ring_rearrangement|oxidative_tailoring,3
BGC0000156,TAN-1612,too_large,unreachable,CHO,aromatic_cyclization|non_aromatic_ring_rearrangement|oxidative_tailoring,3
BGC0000684,asperthecin,unreachable,unreachable,CHO,aromatic_cyclization|non_aromatic_ring_rearrangement|oxidative_tailoring,3
BGC0001118,endocrocin,unreachable,unreachable,CHO,aromatic_cyclization|non_aromatic_ring_rearrangement|oxidative_tailoring,3
BGC0001158,bikaverin,unreachable,unreachable,CHO,aromatic_cyclization|non_aromatic_ring_rearrangement|oxidative_tailoring,3
BGC0001242,oxyjavanicin,unreachable,unreachable,CHO,aromatic_cyclization|non_aromatic_ring_rearrangement|oxidative_tailoring,3
BGC0001446,asparasone A,unreachable,unreachable,CHO,aromatic_cyclization|non_aromatic_ring_rearrangement|oxidative_tailoring,3
BGC0002062,agnestin A,unreachable,unreachable,CHO,aromatic_cyclization|non_aromatic_ring_rearrangement|oxidative_tailoring,3
BGC0002063,cryptosporioptide B,too_large,unreachable,CHO,aromatic_cyclization|non_aromatic_ring_rearrangement|oxidative_tailoring,3
BGC0002525,fusarubin,unreachable,unreachable,CHO,aromatic_cyclization|non_aromatic_ring_rearrangement|oxidative_tailoring,3
BGC0002874,cristazarin,unreachable,unreachable,CHO,aromatic_cyclization|non_aromatic_ring_rearrangement|oxidative_tailoring,3
BGC0001144,neosartoricin B,too_large,unreachable,CHO,aromatic_cyclization|non_aromatic_ring_rearrangement|prenylation,3
BGC0001271,emericellin,too_large,unreachable,CHO,aromatic_cyclization|non_aromatic_ring_rearrangement|prenylation,3
BGC0002864,Mollicellin Z ,too_large,unreachable,CHO,aromatic_cyclization|non_aromatic_ring_rearrangement|prenylation,3
BGC0000037,cichorine,skip_element,skip_element,heteroatom,N_incorporation,1
BGC0000062,Fumonisin B1,skip_element,skip_element,heteroatom,N_incorporation,1
BGC0000063,hydroxyl-Fumonisin C1,skip_element,skip_element,heteroatom,N_incorporation,1
BGC0000064,fusarin C,skip_element,skip_element,heteroatom,N_incorporation,1
BGC0000129,pyripyropene A,skip_element,skip_element,heteroatom,N_incorporation,1
BGC0000168,viridicatumtoxin,skip_element,skip_element,heteroatom,N_incorporation,1
BGC0000959,aspyridone A,skip_element,skip_element,heteroatom,N_incorporation,1
BGC0000968,chaetoglobosin A,skip_element,skip_element,heteroatom,N_incorporation,1
BGC0000977,cyclopiazonic acid,skip_element,skip_element,heteroatom,N_incorporation,1
BGC0000983,cytochalasin E,skip_element,skip_element,heteroatom,N_incorporation,1
BGC0000992,fusaridione A,skip_element,skip_element,heteroatom,N_incorporation,1
BGC0001026,NG-391,skip_element,skip_element,heteroatom,N_incorporation,1
BGC0001035,pneumocandin B0,skip_element,skip_element,heteroatom,N_incorporation,1
BGC0001037,pseurotin,skip_element,skip_element,heteroatom,N_incorporation,1
BGC0001049,tenellin,skip_element,skip_element,heteroatom,N_incorporation,1
BGC0001122,dihydroisoflavipucine,skip_element,skip_element,heteroatom,N_incorporation,1
BGC0001124,pyranonigrin E,skip_element,skip_element,heteroatom,N_incorporation,1
BGC0001136,desmethylbassianin,skip_element,skip_element,heteroatom,N_incorporation,1
BGC0001187,xenolozoyenone,skip_element,skip_element,heteroatom,N_incorporation,1
BGC0001190,fusaric acid,skip_element,skip_element,heteroatom,N_incorporation,1
BGC0001205,communesin A,skip_element,skip_element,heteroatom,N_incorporation,1
BGC0001218,fumosorinone,skip_element,skip_element,heteroatom,N_incorporation,1
BGC0001253,ACT-Toxin I,skip_element,skip_element,heteroatom,N_incorporation,1
BGC0001254,ACT-Toxin II,skip_element,skip_element,heteroatom,N_incorporation,1
BGC0001255,equisetin,skip_element,skip_element,heteroatom,N_incorporation,1
BGC0001262,AK-toxin I,skip_element,skip_element,heteroatom,N_incorporation,1
BGC0001265,melanin,skip_element,skip_element,heteroatom,N_incorporation,1
BGC0001268,fusarin C,skip_element,skip_element,heteroatom,N_incorporation,1
BGC0001358,leucinostatin A,skip_element,skip_element,heteroatom,N_incorporation,1
BGC0001445,leporin B,skip_element,skip_element,heteroatom,N_incorporation,1
BGC0001449,ucs1025a,skip_element,skip_element,heteroatom,N_incorporation,1
BGC0001466,wortmanamide,skip_element,skip_element,heteroatom,N_incorporation,1
BGC0001563,curvupallide-B,skip_element,skip_element,heteroatom,N_incorporation,1
BGC0001616,himeic acid A,skip_element,skip_element,heteroatom,N_incorporation,1
BGC0001626,isoindolinone,skip_element,skip_element,heteroatom,N_incorporation,1
BGC0001722,aspernidine A,skip_element,skip_element,heteroatom,N_incorporation,1
BGC0001738,phomasetin,skip_element,skip_element,heteroatom,N_incorporation,1
BGC0001741,phyllostictine A,skip_element,skip_element,heteroatom,N_incorporation,1
BGC0001793,swainsonine,skip_element,skip_element,heteroatom,N_incorporation,1
BGC0001794,swainsonine,skip_element,skip_element,heteroatom,N_incorporation,1
BGC0001857,burnettramic acid A,skip_element,skip_element,heteroatom,N_incorporation,1
