bgc_id,name,carbons,C,H,O,base_status,formula_feasible,kappa_8000,class,soundness,budget_exhausted,n_programs_executed,n_pruned_overshoot,runtime_s
BGC0002936,Gyrophoric acid,24,24,20,10,too_large,True,0,coverage-limited-structural,HEURISTIC,False,0,192000,22.408
BGC0002953,11'-O-desmethyl fendlerol,26,26,40,7,too_large,True,0,coverage-limited-structural,HEURISTIC,False,14073,240384,56.919
BGC0002966,luteodienoside A,23,23,38,13,too_large,False,,coverage-limited-formula,SOUND,,,,0.000
BGC0002970,xylariolide D,10,10,14,3,unreachable,True,0,coverage-limited-structural,HEURISTIC,False,834,7920,0.520
BGC0002971,Fugralin A,12,12,20,4,unreachable,True,0,coverage-limited-structural,HEURISTIC,False,4029,44992,3.384
BGC0002984,Brefeldin A,16,16,24,4,unreachable,True,0,coverage-limited-structural,HEURISTIC,False,18076,166144,22.558
BGC0002987,scirpilin A,26,26,36,2,too_large,True,0,ambiguous-budget,HEURISTIC,True,60000,218404,165.234
BGC0002999,(2S)-annullatin A,17,17,22,4,unreachable,True,0,coverage-limited-structural,HEURISTIC,False,6315,254976,12.726
BGC0003006,Rasfonin,25,25,38,6,too_large,True,0,coverage-limited-structural,HEURISTIC,False,17396,272384,58.459
BGC0003011,Eupenifeldin,33,33,40,7,too_large,True,0,coverage-limited-structural,HEURISTIC,False,0,192000,53.154
BGC0003013,agonodepside A,23,23,26,5,too_large,True,0,coverage-limited-structural,HEURISTIC,False,150,212480,21.973
BGC0003028,Terrestric acid,11,11,14,4,unreachable,True,0,coverage-limited-structural,HEURISTIC,False,750,18896,0.573
BGC0003032,soppiline A,21,21,34,3,too_large,True,0,coverage-limited-structural,HEURISTIC,False,24872,293728,57.575
BGC0003093,Phomoxanthone A,38,38,38,16,too_large,True,0,coverage-limited-structural,HEURISTIC,False,0,256000,71.952
BGC0003094,Roseopurpurin C,18,18,20,7,unreachable,True,0,coverage-limited-structural,HEURISTIC,False,0,289024,9.093
BGC0003099,"7-But-15-enyl-6,8-dihydroxy-3(R)-pent-11-enylisochroman-1-one",18,18,22,4,unreachable,True,0,coverage-limited-structural,HEURISTIC,False,8580,289024,18.137
BGC0003108,pycnidione,33,33,40,7,too_large,True,0,coverage-limited-structural,HEURISTIC,False,0,192000,53.302
BGC0003109,stachysalicyloid C,16,16,20,2,unreachable,True,0,coverage-limited-structural,HEURISTIC,False,17240,167744,21.764
BGC0003113,multiformin A,24,24,26,6,too_large,True,0,coverage-limited-structural,HEURISTIC,False,0,192000,22.482
BGC0003115,orsellinoxypropanoic acid,11,11,12,6,unreachable,False,,coverage-limited-formula,SOUND,,,,0.000
BGC0003118,Multiforisin H,13,13,16,6,unreachable,True,0,coverage-limited-structural,HEURISTIC,False,330,107264,1.266
BGC0003120,Minutellin A,27,27,30,7,too_large,True,0,coverage-limited-structural,HEURISTIC,False,0,192000,32.512
BGC0003126,kotanin,24,24,22,8,too_large,True,0,coverage-limited-structural,HEURISTIC,False,0,192000,22.424
BGC0003142,FDDP D,29,29,42,7,too_large,True,0,coverage-limited-structural,HEURISTIC,False,5072,256000,50.782
BGC0003144,Physodic acid,26,26,30,8,too_large,True,0,coverage-limited-structural,HEURISTIC,False,0,240384,30.050
BGC0003150,Ascochitine,15,15,16,5,unreachable,True,0,coverage-limited-structural,HEURISTIC,False,100,163584,3.506
BGC0003151,Annullatin D,17,17,22,4,unreachable,True,0,coverage-limited-structural,HEURISTIC,False,6315,254976,12.712
