bgc_id,name,carbons,status,z_star_size,example_program
BGC0001281,ustilagic acid,36,too_large,0,
BGC0001304,aflavarin,24,too_large,0,
BGC0001305,fujikurin B,12,unreachable,0,
BGC0001309,usnic acid,18,unreachable,0,
BGC0001338,citrinin,13,unreachable,0,
BGC0001339,squalestatin S1,35,too_large,0,
BGC0001340,byssochlamic acid,18,unreachable,0,
BGC0001358,leucinostatin A,0,skip_element,0,
BGC0001360,mycophenolic acid,0,skip_element,0,
BGC0001373,sordarin,27,too_large,0,
BGC0001385,byssochlamic acid,18,unreachable,0,
BGC0001390,LL-Z1272beta,23,too_large,0,
BGC0001400,citreoviridin,23,too_large,0,
BGC0001401,melleolide F,23,too_large,0,
BGC0001403,trypacidin,18,unreachable,0,
BGC0001404,sorbicillin,14,unreachable,0,
BGC0001405,chaetoviridin E,0,skip_element,0,
BGC0001445,leporin B,0,skip_element,0,
BGC0001446,asparasone A,18,unreachable,0,
BGC0001449,ucs1025a,0,skip_element,0,
BGC0001450,macrophorin A,22,too_large,0,
BGC0001466,wortmanamide,0,skip_element,0,
BGC0001489,6-hydroxymellein,10,reachable,1,"Program(starter='acetyl', cycles=(Cycle(reduction=<ReductionState.KR: 'kr'>, c_methyl=False, extender=<Extender.MALONYL: 'malonyl'>), Cycle(reduction=<ReductionState.KETO: 'keto'>, c_methyl=False, extender=<Extender.MALONYL: 'malonyl'>), Cycle(reduction=<ReductionState.KETO: 'keto'>, c_methyl=False, extender=<Extender.MALONYL: 'malonyl'>), Cycle(reduction=<ReductionState.KETO: 'keto'>, c_methyl=False, extender=<Extender.MALONYL: 'malonyl'>)), release=<Release.DIHYDROISOCOUMARIN: 'dihydroisocoumarin'>)"
BGC0001508,andrastin A,28,too_large,0,
BGC0001541,cercosporin,29,too_large,0,
BGC0001542,cercosporin,29,too_large,0,
BGC0001544,chlorflavonin,0,skip_element,0,
BGC0001557,cornexistin,16,unreachable,0,
BGC0001563,curvupallide-B,0,skip_element,0,
BGC0001578,duclauxin,29,too_large,0,
BGC0001600,fusarielin H,25,too_large,0,
BGC0001606,gibepyrone-A,10,unreachable,0,
BGC0001616,himeic acid A,0,skip_element,0,
BGC0001626,isoindolinone,0,skip_element,0,
BGC0001677,mycophenolic acid,17,unreachable,0,
BGC0001708,novofumigatonin,25,too_large,0,
BGC0001720,oosporein,14,unreachable,0,
BGC0001722,aspernidine A,0,skip_element,0,
BGC0001729,paraherquonin,24,too_large,0,
BGC0001738,phomasetin,0,skip_element,0,
BGC0001741,phyllostictine A,0,skip_element,0,
BGC0001749,epipyriculol,14,unreachable,0,
BGC0001793,swainsonine,0,skip_element,0,
BGC0001794,swainsonine,0,skip_element,0,
